G,S,Lifetime,G 1-3,S 1-3,Lifetime 1-3,Chi^2,Total intensity,Chi^2 1-3,Total intensity 1-3,Mask label,FOV,Date,FastFLIM,FastFLIM 1-3,Int 570-590,Int 590-610,Int 610-638,Int 638-720,Int 1/(1-4),Int 2/(1-4),Int 3/(1-4),Int 4/(1-4)
0.246445714,0.464942632,3.909365389,0.000402216,2.882198882,0.243057811,0.463097697,4122877,3.923765113,4122877,1,mix,240609,4122877,2.896996189,1177636,926978,961506,1056757,0.285634522,0.224837656,0.23321239,0.256315432
0.279909697,0.473956607,3.549631564,0.002777977,2.755200248,0.276085434,0.47209764,430771,3.549800747,430771,2,mix,240609,430771,2.769531882,184633,78361,76902,90875,0.428610561,0.181908717,0.178521767,0.210958955
0.448847833,0.494011891,2.296891247,0.006334427,2.144827957,0.444639083,0.492343675,136673,2.305724792,136673,3,mix,240609,136673,2.162829059,29338,41131,35050,31154,0.214658345,0.30094459,0.25645153,0.227945534
0.244570313,0.464532355,3.933582228,0.000269246,2.888962742,0.240946494,0.463084463,9680622,3.966742245,9680622,4,mix,240609,9680622,2.903740519,2774978,2191736,2253660,2460248,0.286652862,0.22640446,0.232801157,0.254141521
0.274329328,0.471601785,3.589326983,0.002041417,2.778832854,0.271118767,0.470830587,670767,3.621702172,670767,5,mix,240609,670767,2.790342806,285749,122825,120101,142092,0.426003366,0.183111274,0.179050251,0.211835108
0.241564298,0.463535864,3.967706238,0.00032588,2.901048489,0.238368955,0.462126377,6400942,3.987360216,6400942,6,mix,240609,6400942,2.913953965,1939748,1436520,1475359,1549315,0.303041021,0.224423218,0.230490918,0.242044843
0.239186059,0.462380303,3.980897818,0.001682685,2.910023847,0.236543686,0.460927339,1161305,3.985529565,1161305,7,mix,240609,1161305,2.921433501,361817,257014,267502,274972,0.311560701,0.221314814,0.230346033,0.236778452
0.279239664,0.47499762,3.572218893,0.000844858,2.749378061,0.2759986,0.473828321,1743458,3.592459775,1743458,8,mix,240609,1743458,2.762260535,726175,323337,315100,378846,0.416514192,0.185457292,0.180732774,0.217295742
0.239196984,0.462589875,4.003727755,0.000801952,2.911567789,0.236514077,0.461313955,1249892,4.020611019,1249892,9,mix,240609,1249892,2.923018821,387318,276975,287200,298399,0.309881174,0.221599146,0.229779853,0.238739827
0.241992729,0.463925657,3.974194796,0.000393864,2.898880923,0.239365993,0.462420948,3556577,3.981558907,3556577,10,mix,240609,3556577,2.91049567,1056682,792450,825290,882155,0.297106459,0.222812553,0.23204615,0.248034838
0.273438198,0.472299738,3.621744048,0.001757697,2.78016743,0.270503363,0.470855207,985939,3.633138444,985939,11,mix,240609,985939,2.792752615,421779,179880,175632,208648,0.427794214,0.182445364,0.178136781,0.21162364
0.45079206,0.493699619,2.301170015,0.000875643,2.141157957,0.449312227,0.491603027,11555698,2.283675423,11555698,12,mix,240609,11555698,2.148976239,2224381,3170901,3022179,3138237,0.192492137,0.274401512,0.261531497,0.271574854
0.443308673,0.494803741,2.365794104,0.000994772,2.167547175,0.44103153,0.493244105,1325605,2.359733152,1325605,13,mix,240609,1325605,2.17772367,248774,386866,346108,343857,0.187668272,0.291841084,0.261094368,0.259396276
0.281389875,0.474179507,3.538104408,0.000650866,2.7501725,0.279484038,0.474237122,2188262,3.544022022,2188262,14,mix,240609,2188262,2.749115985,907160,406766,395044,479292,0.414557306,0.18588542,0.180528657,0.219028617
0.275983824,0.473421094,3.610600146,0.001346339,2.770731364,0.273061626,0.472492327,1011711,3.64053924,1011711,15,mix,240609,1011711,2.782612102,430884,183640,179397,217790,0.425896328,0.181514286,0.177320401,0.215268985
0.44826836,0.494057324,2.320556772,0.000788624,2.14958126,0.446279241,0.492244377,10283897,2.308575233,10283897,16,mix,240609,10283897,2.158946448,2006131,2855193,2677225,2745348,0.19507498,0.277637261,0.260331759,0.266955999
0.28742586,0.476375557,3.47715775,0.001074933,2.724748193,0.283595595,0.475089698,2533765,3.504804451,2533765,17,mix,240609,2533765,2.739881569,1022732,481765,466935,562333,0.403641222,0.190137996,0.184285046,0.221935736
0.275530165,0.472946929,3.595312965,0.00097352,2.772239805,0.272854792,0.471896324,1403802,3.612355704,1403802,18,mix,240609,1403802,2.782914625,620348,258347,245529,279578,0.441905625,0.184033788,0.174902871,0.199157716
